Task ID,Net Device ID,Request Size,Task Length,Max Latency,Task Type,Delay Margin
1276,tianjin_man2,10,100,10,1,9.867501257325682
1069,shijiangzhuang_man1,10,100,10,1,9.867508882567673
1703,xingtai_man1,10,100,10,1,9.867513250064107
1776,baoding_man2,10,100,10,1,9.867519699252494
943,qhd_man2,10,100,10,1,9.867545000185935
617,handan_man1,10,100,10,1,9.867571918084241
177,cangzhou_man2,10,100,10,1,9.86757446614396
1949,cangzhou_man1,10,100,10,1,9.867576250037974
1664,xingtai_man1,10,100,10,1,9.867590468385576
1500,tangshan_man2,10,100,10,1,9.867594911973121
1599,xingtai_man1,10,100,10,1,9.867601813028642
1395,hengshui_man1,10,100,10,1,9.867602468404526
1908,chengde_man1,10,100,10,1,9.867611778388039
1578,tangshan_man1,10,100,10,1,9.867628637363966
1576,shijiangzhuang_man1,10,100,10,1,9.867633120217674
342,hengshui_man1,10,100,10,1,9.8676383256031
1676,cangzhou_man1,10,100,10,1,9.867652334205548
1205,zhangjiako_man1,10,100,10,1,9.867661761974132
198,shijiangzhuang_man1,10,100,10,1,9.867663117403042
1960,chengde_man2,10,100,10,1,9.86766338583801
1223,beijing_man2,10,100,10,1,9.867697074624878
345,qhd_man2,10,100,10,1,9.867711474982423
392,tianjin_man2,10,100,10,1,9.86771303477824
962,xingtai_man1,10,100,10,1,9.867729118313612
509,tianjin_man2,10,100,10,1,9.867735673300258
111,qhd_man2,10,100,10,1,9.867738852883049
1705,tianjin_man2,10,100,10,1,9.86774094367788
402,cangzhou_man1,10,100,10,1,9.867742624480696
1399,baoding_man1,10,100,10,1,9.867753402061398
1234,cangzhou_man1,10,100,10,1,9.867766516321861
274,beijing_man2,10,100,10,1,9.867771947634253
1587,beijing_man2,10,100,10,1,9.86777906571368
1160,shijiangzhuang_man1,10,100,10,1,9.86778350872945
505,langfang_man1,10,100,10,1,9.867791934673518
510,shijiangzhuang_man1,10,100,10,1,9.867797275757168
1632,qhd_man1,10,100,10,1,9.867801653722747
132,tianjin_man2,10,100,10,1,9.867806195162398
1987,langfang_man1,10,100,10,1,9.867825401142582
1341,tianjin_man2,10,100,10,1,9.867852236646344
1157,xingtai_man1,10,100,10,1,9.867881606282381
142,cangzhou_man1,10,100,10,1,9.867885227525749
413,chengde_man1,10,100,10,1,9.867902465702095
1350,langfang_man1,10,100,10,1,9.867912883316801
237,shijiangzhuang_man1,10,100,10,1,9.867918760627482
1371,handan_man1,10,100,10,1,9.86794814088323
101,chengde_man1,10,100,10,1,9.867949489092352
1067,beijing_man1,10,100,10,1,9.867961202269713
1528,qhd_man2,10,100,10,1,9.867978044272986
936,xingtai_man1,10,100,10,1,9.867979083899053
1005,hengshui_man1,10,100,10,1,9.867980167084397
1604,tangshan_man1,10,100,10,1,9.867993247119784
159,shijiangzhuang_man1,10,100,10,1,9.867993640774486
81,shijiangzhuang_man1,10,100,10,1,9.86799447680503
272,cangzhou_man1,10,100,10,1,9.868003601643899
959,chengde_man1,10,100,10,1,9.868010737327987
1592,handan_man1,10,100,10,1,9.868018553698276
1333,qhd_man1,10,100,10,1,9.868028425669639
1380,tianjin_man2,10,100,10,1,9.86803682856192
1680,shijiangzhuang_man1,10,100,10,1,9.868040926657446
1445,tianjin_man2,10,100,10,1,9.868053150745299
311,cangzhou_man1,10,100,10,1,9.868061186686644
818,cangzhou_man1,10,100,10,1,9.868063616381862
888,hengshui_man1,10,100,10,1,9.868067275589022
1221,cangzhou_man1,10,100,10,1,9.86806945820099
