City,longitude,latitude,area,percentageOfTotalDevices
Beijing,116.39747,39.908823,16400.0,0.19975
Tianjin,117.20149,39.085171,11900.0,0.12465
Shijiazhuang,114.5105398,38.0307759,14100.0,0.10266
Hengshui,115.6705348,37.73885421,8836.78,0.03799
Tangshan,118.180186,39.630822,14300.0,0.07054
Handan,114.4906292,36.62531541,12100.0,0.08383
Qinhuangdao,119.553463,39.90865,7802.93,0.0284
Baoding,115.512982,38.873425,22200.0,0.10498
Zhangjiakou,114.88594,40.76911,36800.0,0.037012
Chengde,117.962811,40.953003,39500.0,0.030177
Langfang,116.683579,39.538286,6419.38,0.05006
Cangzhou,116.846214,38.312185,14300.0,0.066387
Xingtai,114.500935,37.05329525,12400.0,0.063562
