节点,名称,类型,经度,纬度,实际区域位置
北京1,beijing_man1,城域网机房,116.3603318,39.91137962,长话（西城区复兴门内大街97号）
北京2,beijing_man2,城域网机房,116.390099,39.96956981,土城（朝阳区裕民路乙3号）
天津1,tianjin_man1,城域网机房,117.4402964,40.05020067,蓟州区联通公司
天津2,tianjin_man2,城域网机房,117.2000029,39.15997457,联通网络优化中心河北区中山路
石家庄1,shijiangzhuang_man1,城域网机房/边缘云,114.570941,38.146445,正定县
石家庄2,shijiangzhuang_man2,城域网机房/边缘云,115.218021,37.943123,辛集市
唐山1,tangshan_man1,城域网机房/边缘云,118.1648252,39.86178202,丰润区
唐山2,tangshan_man2,城域网机房/边缘云,118.089294,39.55118378,丰南区
秦皇岛1,qhd_man1,城域网机房/边缘云,119.484522,39.834596,北戴河区
秦皇岛2,qhd_man2,城域网机房/边缘云,119.775799,39.978849,山海关区
邯郸1,handan_man1,城域网机房/边缘云,114.473025,36.616976,复兴区
邯郸2,handan_man2,城域网机房/边缘云,114.814095,36.550411,肥乡区
邢台1,xingtai_man1,城域网机房/边缘云,114.468435,37.059882,桥西区
邢台2,xingtai_man2,城域网机房/边缘云,115.408748,37.359264,南宫市
保定1,baoding_man1,城域网机房/边缘云,114.982574,38.748276,唐县
保定2,baoding_man2,城域网机房/边缘云,115.873758,39.326521,高碑店市
张家口1,zhangjiako_man1,城域网机房/边缘云,114.894341,40.788457,桥东区
张家口2,zhangjiako_man2,城域网机房/边缘云,114.720086,41.158557,张北县
承德1,chengde_man1,城域网机房/边缘云,117.943348,40.97465,双桥区
承德2,chengde_man2,城域网机房/边缘云,118.701951,41.018405,平泉县
沧州1,cangzhou_man1,城域网机房/边缘云,116.857067,38.313525,运河区
沧州2,cangzhou_man2,城域网机房/边缘云,116.1220598,38.43771353,河间市
廊坊1,langfang_man1,城域网机房/边缘云,116.7063693,39.49104487,安次区
廊坊2,langfang_man2,城域网机房/边缘云,116.989574,39.886548,大厂回族自治县
衡水1,hengshui_man1,城域网机房/边缘云,115.579334,37.550821,冀州
衡水2,hengshui_man2,城域网机房/边缘云,115.559574,38.001536,深州
