source_name,source_ID,destination_name,destination_ID,lantency,path,sub_path,tunnelId
beijing_man1,1,beijing_cloud1,5,11,beijing_man1-beijing_core1-beijing_cloud1,"[beijing_man1-beijing_core1],[beijing_core1-beijing_cloud1]",beijing_man1~beijing_cloud1
beijing_man1,1,beijing_cloud2,6,11,beijing_man1-beijing_core2-beijing_cloud2,"[beijing_man1-beijing_core2],[beijing_core2-beijing_cloud2]",beijing_man1~beijing_cloud2
beijing_man1,1,beijing_edge1,7,1,beijing_man1-beijing_edge1,[beijing_man1-beijing_edge1],beijing_man1~beijing_edge1
beijing_man1,1,beijing_edge2,8,6,beijing_man1-beijing_edge2,[beijing_man1-beijing_edge2],beijing_man1~beijing_edge2
beijing_man1,1,beijing_edge3,9,6,beijing_man1-beijing_edge3,[beijing_man1-beijing_edge3],beijing_man1~beijing_edge3
beijing_man1,1,beijing_edge4,10,6,beijing_man1-beijing_edge4,[beijing_man1-beijing_edge4],beijing_man1~beijing_edge4
beijing_man1,1,tianjin_cloud1,15,35.6,beijing_man1-beijing_core1-tianjin_core1-tianjin_cloud1,"[beijing_man1-beijing_core1],[beijing_core1-tianjin_core1],[tianjin_core1-tianjin_cloud1]",beijing_man1~tianjin_cloud1
beijing_man1,1,tianjin_cloud2,16,45.6,beijing_man1-beijing_core1-tianjin_core1-tianjin_cloud2,"[beijing_man1-beijing_core1],[beijing_core1-tianjin_core1],[tianjin_core1-tianjin_cloud2]",beijing_man1~tianjin_cloud2
beijing_man1,1,tianjin_edge1,17,45.6,beijing_man1-beijing_core1-tianjin_core1-tianjin_man1-tianjin_edge1,"[beijing_man1-beijing_core1],[beijing_core1-tianjin_core1],[tianjin_core1-tianjin_man1],[tianjin_man1-tianjin_edge1]",beijing_man1~tianjin_edge1
beijing_man1,1,tianjin_edge2,18,45.6,beijing_man1-beijing_core1-tianjin_core1-tianjin_man2-tianjin_edge2,"[beijing_man1-beijing_core1],[beijing_core1-tianjin_core1],[tianjin_core1-tianjin_man2],[tianjin_man2-tianjin_edge2]",beijing_man1~tianjin_edge2
