LinkID,sourceid,destinationid,bandwidth
beijing_core1-beijing_core2,1,2,10000000000
beijing_core1-beijing_man1,1,3,10000000000
beijing_core1-beijing_man2,1,4,10000000000
beijing_core1-beijing_cloud1,1,5,10000000000
beijing_core1-beijing_cloud2,1,6,10000000000
beijing_core1-tianjin_core1,1,11,10000000000
beijing_core1-tianjin_core2,1,12,10000000000
beijing_core1-shijiangzhuang_core,1,21,10000000000
beijing_core1-tangshan_core,1,25,10000000000
beijing_core2-beijing_man1,2,3,10000000000
beijing_core2-beijing_man2,2,4,10000000000
beijing_core2-beijing_cloud1,2,5,10000000000
beijing_core2-beijing_cloud2,2,6,10000000000
beijing_core2-tianjin_core1,2,11,10000000000
beijing_core2-tianjin_core2,2,12,10000000000
beijing_core2-shijiangzhuang_core,2,21,10000000000
beijing_core2-tangshan_core,2,25,10000000000
beijing_man1-beijing_edge1,3,7,10000000000
beijing_man1-beijing_edge2,3,8,10000000000
beijing_man1-beijing_edge3,3,9,10000000000
beijing_man1-beijing_edge4,3,10,10000000000
beijing_man2-beijing_edge1,4,7,10000000000
beijing_man2-beijing_edge2,4,8,10000000000
beijing_man2-beijing_edge3,4,9,10000000000
beijing_man2-beijing_edge4,4,10,10000000000
tianjin_core1-tianjin_man1,11,13,10000000000
tianjin_core1-tianjin_man2,11,14,10000000000
tianjin_core1-tianjin_cloud1,11,15,10000000000
tianjin_core1-tianjin_cloud2,11,16,10000000000
tianjin_core1-shijiangzhuang_core,11,21,10000000000
tianjin_core1-tangshan_core,11,25,10000000000
tianjin_core2-tianjin_man1,12,13,10000000000
tianjin_core2-tianjin_man2,12,14,10000000000
tianjin_core2-tianjin_cloud1,12,15,10000000000
tianjin_core2-tianjin_cloud2,12,16,10000000000
tianjin_core2-shijiangzhuang_core,12,21,10000000000
tianjin_core2-tangshan_core,12,25,10000000000
tianjin_man1-tianjin_edge1,13,17,10000000000
tianjin_man1-tianjin_edge2,13,18,10000000000
tianjin_man1-tianjin_edge3,13,19,10000000000
tianjin_man1-tianjin_edge4,13,20,10000000000
tianjin_man2-tianjin_edge1,14,17,10000000000
tianjin_man2-tianjin_edge2,14,18,10000000000
tianjin_man2-tianjin_edge3,14,19,10000000000
tianjin_man2-tianjin_edge4,14,20,10000000000
shijiangzhuang_core-shijiangzhuang_man1,21,22,10000000000
shijiangzhuang_core-shijiangzhuang_man2,21,23,10000000000
shijiangzhuang_core-shijiangzhuang_cloud,21,24,10000000000
shijiangzhuang_core-tangshan_man1,21,26,10000000000
shijiangzhuang_core-tangshan_man2,21,27,10000000000
shijiangzhuang_core-qhd_man1,21,28,10000000000
shijiangzhuang_core-qhd_man2,21,29,10000000000
shijiangzhuang_core-handan_man1,21,30,10000000000
shijiangzhuang_core-handan_man2,21,31,10000000000
shijiangzhuang_core-xingtai_man1,21,32,10000000000
shijiangzhuang_core-xingtai_man2,21,33,10000000000
shijiangzhuang_core-baoding_man1,21,34,10000000000
shijiangzhuang_core-baoding_man2,21,35,10000000000
shijiangzhuang_core-zhangjiako_man1,21,37,10000000000
shijiangzhuang_core-zhangjiako_man2,21,38,10000000000
shijiangzhuang_core-chengde_man1,21,40,10000000000
shijiangzhuang_core-chengde_man2,21,41,10000000000
shijiangzhuang_core-cangzhou_man1,21,42,10000000000
shijiangzhuang_core-cangzhou_man2,21,43,10000000000
shijiangzhuang_core-langfang_man1,21,44,10000000000
shijiangzhuang_core-langfang_man2,21,45,10000000000
shijiangzhuang_core-hengshui_man1,21,46,10000000000
shijiangzhuang_core-hengshui_man2,21,47,10000000000
shijiangzhuang_man1-shijiangzhuang_man2,22,23,10000000000
tangshan_core-tangshan_man1,25,26,10000000000
tangshan_core-tangshan_man2,25,27,10000000000
tangshan_core-qhd_man1,25,28,10000000000
tangshan_core-qhd_man2,25,29,10000000000
tangshan_core-handan_man1,25,30,10000000000
tangshan_core-handan_man2,25,31,10000000000
tangshan_core-xingtai_man1,25,32,10000000000
tangshan_core-xingtai_man2,25,33,10000000000
tangshan_core-baoding_man1,25,34,10000000000
tangshan_core-baoding_man2,25,35,10000000000
tangshan_core-zhangjiako_man1,25,37,10000000000
tangshan_core-zhangjiako_man2,25,38,10000000000
tangshan_core-chengde_man1,25,40,10000000000
tangshan_core-chengde_man2,25,41,10000000000
tangshan_core-cangzhou_man1,25,42,10000000000
tangshan_core-cangzhou_man2,25,43,10000000000
tangshan_core-langfang_man1,25,44,10000000000
tangshan_core-langfang_man2,25,45,10000000000
tangshan_core-hengshui_man1,25,46,10000000000
tangshan_core-hengshui_man2,25,47,10000000000
tangshan_man1-tangshan_man2,26,27,10000000000
qhd_man1-qhd_man2,28,29,10000000000
handan_man1-handan_man2,30,31,10000000000
xingtai_man1-xingtai_man2,32,33,10000000000
baoding_man1-baoding_man2,34,35,10000000000
baoding_man1-baoding_cloud,34,36,10000000000
baoding_man2-baoding_cloud,35,36,10000000000
zhangjiako_man1-zhangjiako_man2,37,38,10000000000
zhangjiako_man1-zhangjiako_cloud,37,39,10000000000
zhangjiako_man2-zhangjiako_cloud,38,39,10000000000
chengde_man1-chengde_man2,40,41,10000000000
cangzhou_man1-cangzhou_man2,42,43,10000000000
langfang_man1-langfang_man2,44,45,10000000000
hengshui_man1-hengshui_man2,46,47,10000000000
tangshan_core-shijiangzhuang_man1,25,22,10000000000
tangshan_core-shijiangzhuang_man2,25,23,10000000000
shijiangzhuang_man1-shijiangzhuang_edge1,22,48,10000000000
shijiangzhuang_man2-shijiangzhuang_edge2,23,49,10000000000
tangshan_man1-tangshan_edge1,26,50,10000000000
tangshan_man2-tangshan_edge2,27,51,10000000000
qhd_man1-qhd_edge1,28,52,10000000000
qhd_man2-qhd_edge2,29,53,10000000000
handan_man1-handan_edge1,30,54,10000000000
handan_man2-handan_edge2,31,55,10000000000
xingtai_man1-xingtai_edge1,32,56,10000000000
xingtai_man2-xingtai_edge2,33,57,10000000000
baoding_man1-baoding_edge1,34,58,10000000000
baoding_man2-baoding_edge2,35,59,10000000000
zhangjiako_man1-zhangjiako_edge1,37,60,10000000000
zhangjiako_man2-zhangjiako_edge2,38,61,10000000000
chengde_man1-chengde_edge1,40,62,10000000000
chengde_man2-chengde_edge2,41,63,10000000000
cangzhou_man1-cangzhou_edge1,42,64,10000000000
cangzhou_man2-cangzhou_edge2,43,65,10000000000
langfang_man1-langfang_edge1,44,66,10000000000
langfang_man2-langfang_edge2,45,67,10000000000
hengshui_man1-hengshui_edge1,46,68,10000000000
hengshui_man2-hengshui_edge2,47,69,10000000000
shijiangzhuang_man1-shijiangzhuang_edge2,22,49,10000000000
shijiangzhuang_man2-shijiangzhuang_edge1,23,48,10000000000
tangshan_man1-tangshan_edge2,26,51,10000000000
tangshan_man2-tangshan_edge1,27,50,10000000000
qhd_man1-qhd_edge2,28,53,10000000000
qhd_man2-qhd_edge1,29,52,10000000000
handan_man1-handan_edge2,30,55,10000000000
handan_man2-handan_edge1,31,54,10000000000
xingtai_man1-xingtai_edge2,32,57,10000000000
xingtai_man2-xingtai_edge1,33,56,10000000000
baoding_man1-baoding_edge2,34,59,10000000000
baoding_man2-baoding_edge1,35,58,10000000000
zhangjiako_man1-zhangjiako_edge2,37,61,10000000000
