ID,name,type,longitude,latitude,cores,flops,ram,storage
5,beijing_cloud1,0,116.3460091,40.0808882,48000,40000,128000000,2000000000
6,beijing_cloud2,0,116.4990235,39.72172736,48000,40000,128000000,2000000000
7,beijing_edge1,1,116.656437,39.909965,480,40000,1280000,20000000
8,beijing_edge2,1,116.222982,39.906611,480,40000,1280000,20000000
9,beijing_edge3,1,116.341395,39.726929,480,40000,1280000,20000000
10,beijing_edge4,1,116.4853067,40.13531439,480,40000,1280000,20000000
15,tianjin_cloud1,0,117.119751,39.10015308,48000,40000,128000000,2000000000
16,tianjin_cloud2,0,117.5411904,39.11008903,48000,40000,128000000,2000000000
17,tianjin_edge1,1,117.824898,39.330613,480,40000,1280000,20000000
18,tianjin_edge2,1,116.974254,38.947527,480,40000,1280000,20000000
19,tianjin_edge3,1,117.357396,38.937857,480,40000,1280000,20000000
20,tianjin_edge4,1,117.309819,39.717575,480,40000,1280000,20000000
24,shijiangzhuang_cloud,0,114.6211328,38.03878291,48000,40000,128000000,2000000000
48,shijiangzhuang_edge1,1,114.57094,38.146452,480,40000,1280000,20000000
49,shijiangzhuang_edge2,1,115.218029,37.943122,480,40000,1280000,20000000
50,tangshan_edge1,1,118.1648212,39.86178902,480,40000,1280000,20000000
51,tangshan_edge2,1,118.0893,39.55117578,480,40000,1280000,20000000
52,qhd_edge1,1,119.484513,39.83459,480,40000,1280000,20000000
53,qhd_edge2,1,119.775805,39.978857,480,40000,1280000,20000000
54,handan_edge1,1,114.473016,36.616985,480,40000,1280000,20000000
55,handan_edge2,1,114.814091,36.550419,480,40000,1280000,20000000
56,xingtai_edge1,1,114.468442,37.059877,480,40000,1280000,20000000
57,xingtai_edge2,1,115.408757,37.359265,480,40000,1280000,20000000
36,baoding_cloud,0,115.4859213,39.02188776,48000,40000,128000000,2000000000
58,baoding_edge1,1,114.98257,38.748274,480,40000,1280000,20000000
59,baoding_edge2,1,115.87376,39.326524,480,40000,1280000,20000000
39,zhangjiako_cloud,0,115.8313894,40.31046616,48000,40000,128000000,2000000000
60,zhangjiako_edge1,1,114.894342,40.788454,480,40000,1280000,20000000
61,zhangjiako_edge2,1,114.720093,41.158559,480,40000,1280000,20000000
62,chengde_edge1,1,117.943356,40.974652,480,40000,1280000,20000000
63,chengde_edge2,1,118.701944,41.018401,480,40000,1280000,20000000
64,cangzhou_edge1,1,116.857066,38.313526,480,40000,1280000,20000000
65,cangzhou_edge2,1,116.1220648,38.43771053,480,40000,1280000,20000000
66,langfang_edge1,1,116.7063783,39.49103587,480,40000,1280000,20000000
67,langfang_edge2,1,116.989577,39.886539,480,40000,1280000,20000000
68,hengshui_edge1,1,115.579333,37.55082,480,40000,1280000,20000000
69,hengshui_edge2,1,115.559566,38.001529,480,40000,1280000,20000000
