TaskID,AppType,DeviceID,RequestSize,Bandwidth,MaxLatency,Length,core_demand
1,1,81402,1.6,0,50,500,1
2,1,42501,1.6,0,50,500,1
3,1,12956,1.6,0,50,500,1
4,1,34375,1.6,0,50,500,1
5,1,92567,1.6,0,50,500,1
6,1,51344,1.6,0,50,500,1
7,1,17242,1.6,0,50,500,1
8,1,27503,1.6,0,50,500,1
9,1,32561,1.6,0,50,500,1
10,1,2057,1.6,0,50,500,1
11,1,87419,1.6,0,50,500,1
12,1,94649,1.6,0,50,500,1
13,1,43904,1.6,0,50,500,1
14,1,39906,1.6,0,50,500,1
15,1,58577,1.6,0,50,500,1
16,1,99019,1.6,0,50,500,1
17,1,69804,1.6,0,50,500,1
18,1,39653,1.6,0,50,500,1
19,1,18777,1.6,0,50,500,1
20,1,46278,1.6,0,50,500,1
21,1,79774,1.6,0,50,500,1
22,1,61036,1.6,0,50,500,1
23,1,23107,1.6,0,50,500,1
24,1,45734,1.6,0,50,500,1
25,1,55093,1.6,0,50,500,1
26,1,79050,1.6,0,50,500,1
27,1,88983,1.6,0,50,500,1
28,1,46068,1.6,0,50,500,1
29,1,54135,1.6,0,50,500,1
30,1,29322,1.6,0,50,500,1
31,1,23892,1.6,0,50,500,1
32,1,36187,1.6,0,50,500,1
33,1,78315,1.6,0,50,500,1
34,1,18952,1.6,0,50,500,1
35,1,26658,1.6,0,50,500,1
36,1,20501,1.6,0,50,500,1
37,1,57068,1.6,0,50,500,1
38,1,47641,1.6,0,50,500,1
39,1,13120,1.6,0,50,500,1
40,1,45700,1.6,0,50,500,1
41,1,29600,1.6,0,50,500,1
42,1,82827,1.6,0,50,500,1
43,1,63095,1.6,0,50,500,1
44,1,2545,1.6,0,50,500,1
45,1,75425,1.6,0,50,500,1
46,1,18453,1.6,0,50,500,1
47,1,41420,1.6,0,50,500,1
48,1,40501,1.6,0,50,500,1
49,1,62520,1.6,0,50,500,1
50,1,79747,1.6,0,50,500,1
51,1,93781,1.6,0,50,500,1
52,1,22115,1.6,0,50,500,1
53,1,82266,1.6,0,50,500,1
54,1,43372,1.6,0,50,500,1
55,1,65345,1.6,0,50,500,1
56,1,66021,1.6,0,50,500,1
57,1,20107,1.6,0,50,500,1
58,1,47131,1.6,0,50,500,1
59,1,75539,1.6,0,50,500,1
60,1,59708,1.6,0,50,500,1
61,1,29174,1.6,0,50,500,1
62,1,73612,1.6,0,50,500,1
63,1,91283,1.6,0,50,500,1
64,1,9913,1.6,0,50,500,1
65,1,49486,1.6,0,50,500,1
66,1,7039,1.6,0,50,500,1
67,1,21708,1.6,0,50,500,1
68,1,7843,1.6,0,50,500,1
69,1,50938,1.6,0,50,500,1
70,1,94533,1.6,0,50,500,1
71,1,12264,1.6,0,50,500,1
72,1,25910,1.6,0,50,500,1
73,1,23601,1.6,0,50,500,1
74,1,96949,1.6,0,50,500,1
75,1,24917,1.6,0,50,500,1
76,1,12809,1.6,0,50,500,1
77,1,39118,1.6,0,50,500,1
78,1,93077,1.6,0,50,500,1
79,1,94541,1.6,0,50,500,1
80,1,99506,1.6,0,50,500,1
81,1,79703,1.6,0,50,500,1
82,1,65849,1.6,0,50,500,1
83,1,89986,1.6,0,50,500,1
84,1,78274,1.6,0,50,500,1
85,1,49130,1.6,0,50,500,1
86,1,16654,1.6,0,50,500,1
87,1,58217,1.6,0,50,500,1
88,1,41370,1.6,0,50,500,1
89,1,86521,1.6,0,50,500,1
90,1,43234,1.6,0,50,500,1
91,1,26161,1.6,0,50,500,1
92,1,44521,1.6,0,50,500,1
93,1,84207,1.6,0,50,500,1
94,1,60106,1.6,0,50,500,1
95,1,63429,1.6,0,50,500,1
96,1,83442,1.6,0,50,500,1
97,1,17899,1.6,0,50,500,1
98,1,59636,1.6,0,50,500,1
99,1,24297,1.6,0,50,500,1
100,1,39754,1.6,0,50,500,1
101,1,64393,1.6,0,50,500,1
102,1,44394,1.6,0,50,500,1
103,1,5076,1.6,0,50,500,1
104,1,84787,1.6,0,50,500,1
105,1,76160,1.6,0,50,500,1
106,1,56089,1.6,0,50,500,1
107,1,23742,1.6,0,50,500,1
108,1,38315,1.6,0,50,500,1
109,1,80491,1.6,0,50,500,1
110,1,629,1.6,0,50,500,1
111,1,49832,1.6,0,50,500,1
112,1,4172,1.6,0,50,500,1
113,1,31531,1.6,0,50,500,1
114,1,9098,1.6,0,50,500,1
115,1,3644,1.6,0,50,500,1
116,1,48273,1.6,0,50,500,1
117,1,9226,1.6,0,50,500,1
118,1,11240,1.6,0,50,500,1
119,1,98216,1.6,0,50,500,1
120,1,96656,1.6,0,50,500,1
121,1,11186,1.6,0,50,500,1
122,1,86609,1.6,0,50,500,1
123,1,32784,1.6,0,50,500,1
124,1,72351,1.6,0,50,500,1
125,1,17296,1.6,0,50,500,1
126,1,85585,1.6,0,50,500,1
127,1,97706,1.6,0,50,500,1
128,1,66319,1.6,0,50,500,1
129,1,10303,1.6,0,50,500,1
130,1,29250,1.6,0,50,500,1
131,1,89936,1.6,0,50,500,1
132,1,93658,1.6,0,50,500,1
133,1,58781,1.6,0,50,500,1
134,1,96523,1.6,0,50,500,1
135,1,94356,1.6,0,50,500,1
136,1,15909,1.6,0,50,500,1
137,1,54838,1.6,0,50,500,1
138,1,92851,1.6,0,50,500,1
139,1,19498,1.6,0,50,500,1
140,1,83044,1.6,0,50,500,1
141,1,36975,1.6,0,50,500,1
142,1,80795,1.6,0,50,500,1
143,1,38614,1.6,0,50,500,1
144,1,68808,1.6,0,50,500,1
145,1,87427,1.6,0,50,500,1
146,1,25123,1.6,0,50,500,1
147,1,51567,1.6,0,50,500,1
148,1,27825,1.6,0,50,500,1
149,1,80271,1.6,0,50,500,1
150,1,15436,1.6,0,50,500,1
151,1,63845,1.6,0,50,500,1
152,1,66204,1.6,0,50,500,1
153,1,1999,1.6,0,50,500,1
154,1,5401,1.6,0,50,500,1
155,1,60032,1.6,0,50,500,1
156,1,48559,1.6,0,50,500,1
157,1,50489,1.6,0,50,500,1
158,1,62694,1.6,0,50,500,1
159,1,35301,1.6,0,50,500,1
160,1,52753,1.6,0,50,500,1
161,1,14585,1.6,0,50,500,1
162,1,37467,1.6,0,50,500,1
163,1,46797,1.6,0,50,500,1
164,1,22380,1.6,0,50,500,1
165,1,20599,1.6,0,50,500,1
166,1,29453,1.6,0,50,500,1
167,1,55150,1.6,0,50,500,1
168,1,69262,1.6,0,50,500,1
169,1,33961,1.6,0,50,500,1
170,1,37601,1.6,0,50,500,1
171,1,23814,1.6,0,50,500,1
172,1,14277,1.6,0,50,500,1
173,1,45165,1.6,0,50,500,1
174,1,87036,1.6,0,50,500,1
175,1,16046,1.6,0,50,500,1
176,1,20320,1.6,0,50,500,1
177,1,53065,1.6,0,50,500,1
178,1,32498,1.6,0,50,500,1
179,1,99648,1.6,0,50,500,1
180,1,56864,1.6,0,50,500,1
181,1,21157,1.6,0,50,500,1
182,1,2073,1.6,0,50,500,1
183,1,42828,1.6,0,50,500,1
184,1,92303,1.6,0,50,500,1
185,1,38516,1.6,0,50,500,1
186,1,71539,1.6,0,50,500,1
187,1,66181,1.6,0,50,500,1
188,1,73366,1.6,0,50,500,1
189,1,1940,1.6,0,50,500,1
190,1,23744,1.6,0,50,500,1
191,1,86833,1.6,0,50,500,1
192,1,1813,1.6,0,50,500,1
193,1,98706,1.6,0,50,500,1
194,1,81421,1.6,0,50,500,1
195,1,3862,1.6,0,50,500,1
196,1,3219,1.6,0,50,500,1
197,1,24190,1.6,0,50,500,1
198,1,20130,1.6,0,50,500,1
199,1,38904,1.6,0,50,500,1
200,1,9049,1.6,0,50,500,1
201,1,70887,1.6,0,50,500,1
202,1,22977,1.6,0,50,500,1
203,1,17929,1.6,0,50,500,1
204,1,5382,1.6,0,50,500,1
205,1,91566,1.6,0,50,500,1
206,1,28240,1.6,0,50,500,1
207,1,8241,1.6,0,50,500,1
208,1,45967,1.6,0,50,500,1
209,1,79442,1.6,0,50,500,1
210,1,44726,1.6,0,50,500,1
211,1,10621,1.6,0,50,500,1
212,1,51125,1.6,0,50,500,1
213,1,96902,1.6,0,50,500,1
214,1,25215,1.6,0,50,500,1
215,1,12910,1.6,0,50,500,1
216,1,91382,1.6,0,50,500,1
217,1,44166,1.6,0,50,500,1
218,1,73599,1.6,0,50,500,1
219,1,24181,1.6,0,50,500,1
220,1,70197,1.6,0,50,500,1
221,1,58604,1.6,0,50,500,1
222,1,89418,1.6,0,50,500,1
223,1,94511,1.6,0,50,500,1
224,1,39135,1.6,0,50,500,1
225,1,10682,1.6,0,50,500,1
226,1,86041,1.6,0,50,500,1
227,1,91675,1.6,0,50,500,1
228,1,14819,1.6,0,50,500,1
229,1,89897,1.6,0,50,500,1
230,1,48937,1.6,0,50,500,1
231,1,97148,1.6,0,50,500,1
232,1,24960,1.6,0,50,500,1
233,1,56210,1.6,0,50,500,1
234,1,268,1.6,0,50,500,1
235,1,47107,1.6,0,50,500,1
236,1,73461,1.6,0,50,500,1
237,1,36834,1.6,0,50,500,1
238,1,58761,1.6,0,50,500,1
239,1,32538,1.6,0,50,500,1
240,1,91716,1.6,0,50,500,1
241,1,50492,1.6,0,50,500,1
242,1,97073,1.6,0,50,500,1
243,1,95727,1.6,0,50,500,1
244,1,51358,1.6,0,50,500,1
245,1,59393,1.6,0,50,500,1
246,1,52755,1.6,0,50,500,1
247,1,14263,1.6,0,50,500,1
248,1,97037,1.6,0,50,500,1
249,1,87526,1.6,0,50,500,1
250,1,71639,1.6,0,50,500,1
251,1,55263,1.6,0,50,500,1
252,1,67978,1.6,0,50,500,1
253,1,50921,1.6,0,50,500,1
254,1,83086,1.6,0,50,500,1
255,1,2654,1.6,0,50,500,1
256,1,90167,1.6,0,50,500,1
257,1,7008,1.6,0,50,500,1
258,1,16034,1.6,0,50,500,1
259,1,42101,1.6,0,50,500,1
