节点,名称,类型,经度,纬度,实际区域位置
北京中心云1,beijing_cloud1,中心云,116.346009116248,40.0808882,回龙观云数据中心（昌平）
北京中心云2,beijing_cloud2,中心云,116.4990235,39.72172736,百度云数据中心（大兴）
北京边缘云1,beijing_edge1,边缘云,116.656437,39.909965,通州区
北京边缘云2,beijing_edge2,边缘云,116.222982,39.906611,石景山区
北京边缘云3,beijing_edge3,边缘云,116.341395,39.726929,大兴区
北京边缘云4,beijing_edge4,边缘云,116.4853067,40.13531439,昌平顺义中间
天津中心云1,tianjin_cloud1,中心云,117.119751,39.10015308,西青区联通云数据中心
天津中心云2,tianjin_cloud2,中心云,117.5411904,39.11008903,滨海新区腾讯云数据中心
天津边缘云1,tianjin_edge1,边缘云,117.824898,39.330613,宁河区
天津边缘云2,tianjin_edge2,边缘云,116.974254,38.947527,静海区
天津边缘云3,tianjin_edge3,边缘云,117.357396,38.937857,津南区
天津边缘云4,tianjin_edge4,边缘云,117.309819,39.717575,宝坻区
石家庄1,shijiangzhuang_edge1,边缘云,114.570941,38.146445,正定县
石家庄2,shijiangzhuang_edge2,边缘云,115.218021,37.943123,辛集市
石家庄中心云,shijiangzhuang_cloud,中心云,114.6211328,38.03878291,联通大厦
唐山1,tangshan_edge1,边缘云,118.1648252,39.86178202,丰润区
唐山2,tangshan_edge2,边缘云,118.089294,39.55118378,丰南区
秦皇岛1,qhd_edge1,边缘云,119.484522,39.834596,北戴河区
秦皇岛2,qhd_edge2,边缘云,119.775799,39.978849,山海关区
邯郸1,handan_edge1,边缘云,114.473025,36.616976,复兴区
邯郸2,handan_edge2,边缘云,114.814095,36.550411,肥乡区
邢台1,xingtai_edge1,边缘云,114.468435,37.059882,桥西区
邢台2,xingtai_edge2,边缘云,115.408748,37.359264,南宫市
保定1,baoding_edge1,边缘云,114.982574,38.748276,唐县
保定2,baoding_edge2,边缘云,115.873758,39.326521,高碑店市
保定中心云,baoding_cloud,中心云,115.4859213,39.02188776,徐水百度云中心
张家口1,zhangjiako_edge1,边缘云,114.894341,40.788457,桥东区
张家口2,zhangjiako_edge2,边缘云,114.720086,41.158557,张北县
张家口中心云,zhangjiako_cloud,中心云,115.8313894,40.31046616,怀来
承德1,chengde_edge1,边缘云,117.943348,40.97465,双桥区
承德2,chengde_edge2,边缘云,118.701951,41.018405,平泉县
沧州1,cangzhou_edge1,边缘云,116.857067,38.313525,运河区
沧州2,cangzhou_edge2,边缘云,116.1220598,38.43771353,河间市
廊坊1,langfang_edge1,边缘云,116.7063693,39.49104487,安次区
廊坊2,langfang_edge2,边缘云,116.989574,39.886548,大厂回族自治县
衡水1,hengshui_edge1,边缘云,115.579334,37.550821,冀州
衡水2,hengshui_edge2,边缘云,115.559574,38.001536,深州
