TaskID,AppType,DeviceID,RequestSizeGB,MaxLatencySec,DataLengthGB,CoreRequirement,AccessNode,StartTime,EndTime,Status,AssignedNode,ExecutionTime,TotalLatency,IsSuccess
北京-0138-1745487269835,低时延,北京-0138,0.2734375,0.3,130.385160446167,28,beijing-man1,,0.002,失败,,0,0.002,False,无符合条件的节点
北京-0301-1745487269835,低时延,北京-0301,0.2734375,0.3,130.385160446167,28,beijing-man2,,0.002,失败,,0,0.002,False,无符合条件的节点
北京-0347-1745487269835,低时延,北京-0347,0.2734375,0.3,130.385160446167,28,beijing-man1,,0.002,失败,,0,0.002,False,无符合条件的节点
北京-0418-1745487269835,低时延,北京-0418,0.2734375,0.3,130.385160446167,28,beijing-man2,,0.002,失败,,0,0.002,False,无符合条件的节点
北京-0465-1745487269835,低需求,北京-0465,0.2734375,1.0,13.0385160446167,28,beijing-man2,,0.002,失败,,0,0.002,False,无符合条件的节点
北京-0489-1745487269835,低需求,北京-0489,0.2734375,1.0,13.0385160446167,28,beijing-man2,,0.002,失败,,0,0.002,False,无符合条件的节点
北京-0513-1745487269835,低时延,北京-0513,0.2734375,0.3,130.385160446167,28,beijing-man1,,0.002,失败,,0,0.002,False,无符合条件的节点
北京-0525-1745487269835,低需求,北京-0525,0.2734375,1.0,13.0385160446167,28,beijing-man2,,0.002,失败,,0,0.002,False,无符合条件的节点
北京-0526-1745487269835,低需求,北京-0526,0.2734375,1.0,13.0385160446167,28,beijing-man2,,0.002,失败,,0,0.002,False,无符合条件的节点
北京-0583-1745487269835,低时延,北京-0583,0.2734375,0.3,130.385160446167,28,beijing-man2,,0.002,失败,,0,0.002,False,无符合条件的节点
北京-0590-1745487269835,低时延,北京-0590,0.2734375,0.3,130.385160446167,28,beijing-man2,,0.002,失败,,0,0.002,False,无符合条件的节点
北京-0616-1745487269835,低需求,北京-0616,0.2734375,1.0,13.0385160446167,28,beijing-man2,,0.002,失败,,0,0.002,False,无符合条件的节点
北京-0617-1745487269835,低需求,北京-0617,0.2734375,1.0,13.0385160446167,28,beijing-man1,,0.002,失败,,0,0.002,False,无符合条件的节点
北京-0628-1745487269835,低需求,北京-0628,0.2734375,1.0,13.0385160446167,28,beijing-man2,,0.002,失败,,0,0.002,False,无符合条件的节点
北京-0664-1745487269835,低需求,北京-0664,0.2734375,1.0,13.0385160446167,28,beijing-man2,,0.002,失败,,0,0.002,False,无符合条件的节点
北京-0682-1745487269835,低需求,北京-0682,0.2734375,1.0,13.0385160446167,28,beijing-man1,,0.002,失败,,0,0.002,False,无符合条件的节点
北京-0697-1745487269835,低时延,北京-0697,0.2734375,0.3,130.385160446167,28,beijing-man2,,0.002,失败,,0,0.002,False,无符合条件的节点
北京-0721-1745487269835,低需求,北京-0721,0.2734375,1.0,13.0385160446167,28,beijing-man1,,0.002,失败,,0,0.002,False,无符合条件的节点
北京-0730-1745487269835,低时延,北京-0730,0.2734375,0.3,130.385160446167,28,beijing-man2,,0.002,失败,,0,0.002,False,无符合条件的节点
北京-0758-1745487269835,低时延,北京-0758,0.2734375,0.3,130.385160446167,28,beijing-man1,,0.002,失败,,0,0.002,False,无符合条件的节点
北京-0761-1745487269835,低需求,北京-0761,0.2734375,1.0,13.0385160446167,28,beijing-man2,,0.002,失败,,0,0.002,False,无符合条件的节点
北京-0767-1745487269835,低需求,北京-0767,0.2734375,1.0,13.0385160446167,28,beijing-man2,,0.002,失败,,0,0.002,False,无符合条件的节点
北京-0788-1745487269835,低需求,北京-0788,0.2734375,1.0,13.0385160446167,28,beijing-man2,,0.002,失败,,0,0.002,False,无符合条件的节点
北京-0791-1745487269835,低时延,北京-0791,0.2734375,0.3,130.385160446167,28,beijing-man2,,0.002,失败,,0,0.002,False,无符合条件的节点
北京-0796-1745487269835,低需求,北京-0796,0.2734375,1.0,13.0385160446167,28,beijing-man2,,0.002,失败,,0,0.002,False,无符合条件的节点
北京-0803-1745487269835,低时延,北京-0803,0.2734375,0.3,130.385160446167,28,beijing-man2,,0.002,失败,,0,0.002,False,无符合条件的节点
北京-0821-1745487269835,低时延,北京-0821,0.2734375,0.3,130.385160446167,28,beijing-man2,,0.002,失败,,0,0.002,False,无符合条件的节点
北京-0834-1745487269835,低时延,北京-0834,0.2734375,0.3,130.385160446167,28,beijing-man2,,0.002,失败,,0,0.002,False,无符合条件的节点
北京-0861-1745487269835,低时延,北京-0861,0.2734375,0.3,130.385160446167,28,beijing-man2,,0.002,失败,,0,0.002,False,无符合条件的节点
北京-0932-1745487269835,低需求,北京-0932,0.2734375,1.0,13.0385160446167,28,beijing-man2,,0.002,失败,,0,0.002,False,无符合条件的节点
北京-0936-1745487269835,低时延,北京-0936,0.2734375,0.3,130.385160446167,28,beijing-man2,,0.002,失败,,0,0.002,False,无符合条件的节点
北京-0955-1745487269835,低时延,北京-0955,0.2734375,0.3,130.385160446167,28,beijing-man2,,0.002,失败,,0,0.002,False,无符合条件的节点
北京-0958-1745487269835,低需求,北京-0958,0.2734375,1.0,13.0385160446167,28,beijing-man2,,0.002,失败,,0,0.002,False,无符合条件的节点
北京-0959-1745487269835,低时延,北京-0959,0.2734375,0.3,130.385160446167,28,beijing-man2,,0.002,失败,,0,0.002,False,无符合条件的节点
北京-0961-1745487269835,低时延,北京-0961,0.2734375,0.3,130.385160446167,28,beijing-man1,,0.002,失败,,0,0.002,False,无符合条件的节点
北京-0968-1745487269835,低时延,北京-0968,0.2734375,0.3,130.385160446167,28,beijing-man2,,0.002,失败,,0,0.002,False,无符合条件的节点
北京-0980-1745487269835,低时延,北京-0980,0.2734375,0.3,130.385160446167,28,beijing-man2,,0.002,失败,,0,0.002,False,无符合条件的节点
天津-0476-1745487269835,低时延,天津-0476,0.2734375,0.3,130.385160446167,28,tianjin-man2,,0.002,失败,,0,0.002,False,无符合条件的节点
天津-0496-1745487269835,低时延,天津-0496,0.2734375,0.3,130.385160446167,28,tianjin-man2,,0.002,失败,,0,0.002,False,无符合条件的节点
天津-0523-1745487269835,低需求,天津-0523,0.2734375,1.0,13.0385160446167,28,tianjin-man2,,0.002,失败,,0,0.002,False,无符合条件的节点
天津-0551-1745487269835,低需求,天津-0551,0.2734375,1.0,13.0385160446167,28,tianjin-man2,,0.002,失败,,0,0.002,False,无符合条件的节点
天津-0556-1745487269835,低需求,天津-0556,0.2734375,1.0,13.0385160446167,28,tianjin-man2,,0.002,失败,,0,0.002,False,无符合条件的节点
天津-0558-1745487269835,低需求,天津-0558,0.2734375,1.0,13.0385160446167,28,tianjin-man2,,0.002,失败,,0,0.002,False,无符合条件的节点
天津-0593-1745487269835,低需求,天津-0593,0.2734375,1.0,13.0385160446167,28,tianjin-man2,,0.002,失败,,0,0.002,False,无符合条件的节点
天津-0594-1745487269835,低需求,天津-0594,0.2734375,1.0,13.0385160446167,28,tianjin-man1,,0.002,失败,,0,0.002,False,无符合条件的节点
天津-0599-1745487269835,低时延,天津-0599,0.2734375,0.3,130.385160446167,28,tianjin-man2,,0.002,失败,,0,0.002,False,无符合条件的节点
天津-0616-1745487269835,低需求,天津-0616,0.2734375,1.0,13.0385160446167,28,tianjin-man2,,0.002,失败,,0,0.002,False,无符合条件的节点
石家-0346-1745487269835,低需求,石家-0346,0.2734375,1.0,13.0385160446167,28,shijiangzhuang-man1,,0.002,失败,,0,0.002,False,无符合条件的节点
石家-0353-1745487269835,低需求,石家-0353,0.2734375,1.0,13.0385160446167,28,shijiangzhuang-man1,,0.002,失败,,0,0.002,False,无符合条件的节点
石家-0364-1745487269835,低需求,石家-0364,0.2734375,1.0,13.0385160446167,28,shijiangzhuang-man1,,0.002,失败,,0,0.002,False,无符合条件的节点
石家-0493-1745487269835,低时延,石家-0493,0.2734375,0.3,130.385160446167,28,shijiangzhuang-man1,,0.002,失败,,0,0.002,False,无符合条件的节点
石家-0506-1745487269835,低时延,石家-0506,0.2734375,0.3,130.385160446167,28,shijiangzhuang-man2,,0.002,失败,,0,0.002,False,无符合条件的节点
衡水-0142-1745487269835,低时延,衡水-0142,0.2734375,0.3,130.385160446167,28,hengshui-man1,,0.002,失败,,0,0.002,False,无符合条件的节点
衡水-0145-1745487269835,低时延,衡水-0145,0.2734375,0.3,130.385160446167,28,hengshui-man1,,0.002,失败,,0,0.002,False,无符合条件的节点
衡水-0182-1745487269835,低时延,衡水-0182,0.2734375,0.3,130.385160446167,28,hengshui-man1,,0.002,失败,,0,0.002,False,无符合条件的节点
邢台-0011-1745487269835,长时间占用网络资源,邢台-0011,1.3671875,2.0,130.385160446167,56,xingtai-man1,,0.002,失败,,0,0.002,False,无符合条件的节点
邢台-0059-1745487269835,低时延,邢台-0059,0.2734375,0.3,130.385160446167,28,xingtai-man1,,0.002,失败,,0,0.002,False,无符合条件的节点
邢台-0099-1745487269835,低需求,邢台-0099,0.2734375,1.0,13.0385160446167,28,xingtai-man1,,0.002,失败,,0,0.002,False,无符合条件的节点
邢台-0101-1745487269835,低时延,邢台-0101,0.2734375,0.3,130.385160446167,28,xingtai-man1,,0.002,失败,,0,0.002,False,无符合条件的节点
邢台-0110-1745487269835,长时间占用网络资源,邢台-0110,1.3671875,2.0,130.385160446167,56,xingtai-man1,,0.002,失败,,0,0.002,False,无符合条件的节点
邢台-0113-1745487269835,低时延,邢台-0113,0.2734375,0.3,130.385160446167,28,xingtai-man1,,0.002,失败,,0,0.002,False,无符合条件的节点
