link_id,bandwidth_avg_usage,bandwidth_max_usage
beijing-core1-beijing-core2,2.54%,30.08%
beijing-core1-beijing-man1,0.23%,5.74%
beijing-core1-beijing-man2,0.14%,5.47%
beijing-core1-beijing-cloud1,7.01%,41.02%
beijing-core1-beijing-cloud2,4.97%,28.16%
beijing-core1-tianjin-core1,3.91%,16.13%
beijing-core1-tianjin-core2,5.58%,21.88%
beijing-core1-shijiangzhuang-core,7.01%,27.62%
beijing-core1-tangshan-core,5.34%,12.58%
beijing-core2-beijing-man1,0.47%,6.84%
beijing-core2-beijing-man2,0.03%,1.64%
beijing-core2-beijing-cloud1,7.76%,53.87%
beijing-core2-beijing-cloud2,8.61%,57.42%
beijing-core2-tianjin-core1,1.61%,16.41%
beijing-core2-tianjin-core2,11.91%,38.28%
beijing-core2-shijiangzhuang-core,4.94%,35.27%
beijing-core2-tangshan-core,3.33%,18.32%
beijing-man1-beijing-edge1,5.67%,24.61%
beijing-man1-beijing-edge2,4.76%,22.15%
beijing-man1-beijing-edge3,5.69%,27.62%
beijing-man1-beijing-edge4,5.49%,23.52%
beijing-man2-beijing-edge1,7.19%,24.34%
beijing-man2-beijing-edge2,9.59%,32.81%
beijing-man2-beijing-edge3,8.79%,23.52%
beijing-man2-beijing-edge4,7.69%,27.62%
tianjin-core1-tianjin-man1,0.50%,6.02%
tianjin-core1-tianjin-man2,0.33%,5.47%
tianjin-core1-tianjin-cloud1,7.67%,43.75%
tianjin-core1-tianjin-cloud2,4.94%,30.63%
tianjin-core1-shijiangzhuang-core,2.80%,17.23%
tianjin-core1-tangshan-core,7.05%,21.88%
tianjin-core2-tianjin-man1,6.89%,22.42%
tianjin-core2-tianjin-man2,0.75%,10.94%
tianjin-core2-tianjin-cloud1,5.35%,38.01%
tianjin-core2-tianjin-cloud2,8.64%,62.89%
tianjin-core2-shijiangzhuang-core,34.78%,87.50%
tianjin-core2-tangshan-core,16.46%,39.65%
tianjin-man1-tianjin-edge1,3.63%,16.41%
tianjin-man1-tianjin-edge2,3.39%,16.41%
tianjin-man1-tianjin-edge3,3.93%,18.32%
tianjin-man1-tianjin-edge4,2.88%,12.30%
tianjin-man2-tianjin-edge1,6.95%,27.62%
tianjin-man2-tianjin-edge2,7.33%,23.52%
tianjin-man2-tianjin-edge3,5.85%,23.24%
tianjin-man2-tianjin-edge4,6.78%,22.15%
shijiangzhuang-core-shijiangzhuang-man1,0.45%,5.47%
shijiangzhuang-core-shijiangzhuang-man2,0.26%,5.74%
shijiangzhuang-core-shijiangzhuang-cloud,14.53%,82.85%
shijiangzhuang-core-tangshan-man1,2.43%,10.94%
shijiangzhuang-core-tangshan-man2,0.00%,0.00%
shijiangzhuang-core-qhd-man1,3.35%,17.77%
shijiangzhuang-core-qhd-man2,1.87%,6.84%
shijiangzhuang-core-handan-man1,4.33%,12.30%
shijiangzhuang-core-handan-man2,3.95%,16.41%
shijiangzhuang-core-xingtai-man1,0.68%,5.74%
shijiangzhuang-core-xingtai-man2,3.91%,12.58%
shijiangzhuang-core-baoding-man1,6.71%,18.05%
shijiangzhuang-core-baoding-man2,1.44%,16.41%
shijiangzhuang-core-zhangjiako-man1,17.10%,41.02%
shijiangzhuang-core-zhangjiako-man2,2.67%,12.85%
shijiangzhuang-core-chengde-man1,3.15%,12.30%
shijiangzhuang-core-chengde-man2,3.65%,23.24%
shijiangzhuang-core-cangzhou-man1,7.03%,13.95%
shijiangzhuang-core-cangzhou-man2,10.50%,29.26%
shijiangzhuang-core-langfang-man1,10.56%,33.09%
shijiangzhuang-core-langfang-man2,5.24%,18.87%
shijiangzhuang-core-hengshui-man1,3.12%,11.21%
shijiangzhuang-core-hengshui-man2,4.54%,16.41%
shijiangzhuang-man1-shijiangzhuang-man2,19.70%,47.30%
tangshan-core-tangshan-man1,1.33%,12.58%
tangshan-core-tangshan-man2,0.01%,0.27%
tangshan-core-qhd-man1,2.13%,12.58%
tangshan-core-qhd-man2,1.00%,7.11%
tangshan-core-handan-man1,0.45%,5.47%
tangshan-core-handan-man2,1.94%,21.88%
tangshan-core-xingtai-man1,0.55%,6.84%
tangshan-core-xingtai-man2,0.76%,6.84%
tangshan-core-baoding-man1,1.84%,8.48%
tangshan-core-baoding-man2,0.32%,6.02%
tangshan-core-zhangjiako-man1,6.60%,37.46%
tangshan-core-zhangjiako-man2,1.72%,11.48%
tangshan-core-chengde-man1,3.12%,13.95%
tangshan-core-chengde-man2,3.19%,18.05%
tangshan-core-cangzhou-man1,5.56%,17.50%
tangshan-core-cangzhou-man2,1.00%,6.56%
tangshan-core-langfang-man1,1.96%,12.30%
tangshan-core-langfang-man2,5.92%,27.34%
tangshan-core-hengshui-man1,0.92%,12.30%
tangshan-core-hengshui-man2,0.97%,9.84%
tangshan-man1-tangshan-man2,0.00%,0.00%
qhd-man1-qhd-man2,1.32%,10.94%
handan-man1-handan-man2,0.71%,6.56%
xingtai-man1-xingtai-man2,1.41%,8.75%
baoding-man1-baoding-man2,2.68%,54.69%
baoding-man1-baoding-cloud,9.35%,27.89%
baoding-man2-baoding-cloud,1.78%,65.08%
zhangjiako-man1-zhangjiako-man2,7.05%,21.05%
zhangjiako-man1-zhangjiako-cloud,6.01%,46.48%
zhangjiako-man2-zhangjiako-cloud,6.64%,30.63%
chengde-man1-chengde-man2,6.33%,22.42%
cangzhou-man1-cangzhou-man2,16.05%,49.22%
langfang-man1-langfang-man2,3.87%,23.24%
hengshui-man1-hengshui-man2,3.67%,17.77%
tangshan-core-shijiangzhuang-man1,0.07%,5.74%
tangshan-core-shijiangzhuang-man2,0.26%,6.84%
shijiangzhuang-man1-shijiangzhuang-edge1,11.35%,38.28%
shijiangzhuang-man2-shijiangzhuang-edge2,1.03%,10.94%
tangshan-man1-tangshan-edge1,3.19%,17.77%
tangshan-man2-tangshan-edge2,8.32%,28.71%
qhd-man1-qhd-edge1,2.37%,16.41%
qhd-man2-qhd-edge2,5.57%,16.68%
handan-man1-handan-edge1,6.72%,21.88%
handan-man2-handan-edge2,4.86%,16.68%
xingtai-man1-xingtai-edge1,7.92%,27.34%
xingtai-man2-xingtai-edge2,3.31%,11.21%
baoding-man1-baoding-edge1,11.21%,28.44%
baoding-man2-baoding-edge2,2.64%,12.58%
zhangjiako-man1-zhangjiako-edge1,4.63%,16.68%
zhangjiako-man2-zhangjiako-edge2,1.91%,7.38%
chengde-man1-chengde-edge1,2.60%,12.30%
chengde-man2-chengde-edge2,3.00%,16.41%
cangzhou-man1-cangzhou-edge1,4.97%,13.67%
cangzhou-man2-cangzhou-edge2,1.85%,10.94%
langfang-man1-langfang-edge1,5.60%,16.68%
langfang-man2-langfang-edge2,4.32%,16.41%
hengshui-man1-hengshui-edge1,7.07%,21.88%
hengshui-man2-hengshui-edge2,8.75%,21.88%
shijiangzhuang-man1-shijiangzhuang-edge2,12.04%,35.00%
shijiangzhuang-man2-shijiangzhuang-edge1,2.97%,12.03%
tangshan-man1-tangshan-edge2,3.25%,17.77%
tangshan-man2-tangshan-edge1,8.70%,27.89%
qhd-man1-qhd-edge2,3.23%,12.30%
qhd-man2-qhd-edge1,24.55%,76.56%
handan-man1-handan-edge2,4.23%,22.15%
handan-man2-handan-edge1,2.67%,12.85%
xingtai-man1-xingtai-edge2,8.11%,27.62%
xingtai-man2-xingtai-edge1,2.77%,11.48%
baoding-man1-baoding-edge2,10.01%,32.81%
baoding-man2-baoding-edge1,3.48%,23.24%
zhangjiako-man1-zhangjiako-edge2,6.14%,16.95%
zhangjiako-man2-zhangjiako-edge1,2.74%,13.67%
chengde-man1-chengde-edge2,4.59%,16.41%
chengde-man2-chengde-edge1,4.85%,17.77%
cangzhou-man1-cangzhou-edge2,5.96%,17.77%
cangzhou-man2-cangzhou-edge1,4.01%,10.94%
langfang-man1-langfang-edge2,3.33%,13.67%
langfang-man2-langfang-edge1,2.40%,8.20%
hengshui-man1-hengshui-edge2,1.56%,11.21%
hengshui-man2-hengshui-edge1,2.58%,12.30%
cangzhou-man1-tianjin-core1,2.97%,43.75%
cangzhou-man2-tianjin-core1,6.86%,22.97%
qhd-man1-tianjin-core1,0.23%,5.47%
qhd-man2-tianjin-core1,1.87%,20.51%
