TaskID,AppType,DeviceID,RequestSize,Max Latency,Length,core,任务生成时间,任务发送时间,接入节点
石家-0491-1745487269835,长时间占用网络资源,石家-0491,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.004毫秒,shijiangzhuang_man1
保定-0119-1745487269835,低时延,保定-0119,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.009毫秒,cangzhou_man2
保定-0443-1745487269835,低需求,保定-0443,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.009毫秒,baoding_man1
衡水-0007-1745487269835,低时延,衡水-0007,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.011毫秒,hengshui_man1
保定-0395-1745487269835,低需求,保定-0395,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.013毫秒,baoding_man1
廊坊-0104-1745487269835,低时延,廊坊-0104,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.014毫秒,langfang_man1
保定-0108-1745487269835,长时间占用网络资源,保定-0108,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.016毫秒,baoding_man1
沧州-0091-1745487269835,低时延,沧州-0091,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.016毫秒,cangzhou_man1
石家-0231-1745487269835,低时延,石家-0231,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.017毫秒,shijiangzhuang_man1
北京-0678-1745487269835,低时延,北京-0678,10,0.3,5000000000.0,1,00分00秒00.000毫秒,00分00秒01.018毫秒,beijing_man2
沧州-0201-1745487269835,低需求,沧州-0201,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.020毫秒,cangzhou_man1
唐山-0141-1745487269835,长时间占用网络资源,唐山-0141,50,2.0,5000000000.0,2,00分00秒00.000毫秒,00分00秒01.021毫秒,tangshan_man2
邯郸-0071-1745487269835,低需求,邯郸-0071,10,1.0,500000000.0,1,00分00秒00.000毫秒,00分00秒01.024毫秒,handan_man1
