设备ID,经度,纬度,所在城市,设备类型,接入方式,接入节点,接入时延
北京-0001,116.321869,39.740635,北京市,手机,Ethernet,beijing_man1,1.5077890519795818
北京-0002,116.422075,39.931089,北京市,传感器,Cellular,beijing_man2,3.831957738850058
北京-0003,116.344719,39.886094,北京市,laptop,Wifi,beijing_man2,1.318768512566169
北京-0004,116.269111,40.165199,北京市,手机,Cellular,beijing_man1,5.9488362940293955
北京-0005,116.436263,39.899523,北京市,手机,Cellular,beijing_man2,6.464708489366182
北京-0006,116.38757,40.150717,北京市,laptop,Cellular,beijing_man1,3.066596843431918
北京-0007,116.15558,39.869616,北京市,手机,Wifi,beijing_man2,2.9470013207852848
北京-0008,116.399994,39.900004,北京市,传感器,Cellular,beijing_man2,1.1722945304552979
北京-0009,116.4507,40.145954,北京市,手机,Wifi,beijing_man1,2.6160717504400304
北京-0010,116.583091,39.826417,北京市,laptop,Cellular,beijing_man1,3.3836397917417096
北京-0011,116.347634,39.661765,北京市,传感器,Cellular,beijing_man1,6.540016013067171
北京-0012,116.674033,40.347683,北京市,手机,Ethernet,beijing_man1,1.2652519682779053
北京-0013,116.467497,39.499146,北京市,手机,Cellular,langfang_man1,7.371328023417207
北京-0014,116.360691,39.867519,北京市,手机,Ethernet,beijing_man2,1.0330753626570595
北京-0015,116.398776,39.902439,北京市,PC,Wifi,beijing_man2,4.160978386289063
北京-0016,116.2055,40.214081,北京市,传感器,Wifi,beijing_man1,1.4199828671539092
北京-0017,116.676454,39.714265,北京市,laptop,Wifi,beijing_man1,4.747617105744965
北京-0018,116.263887,39.749175,北京市,PC,Wifi,beijing_man1,4.9378355422188625
北京-0019,116.401551,39.932913,北京市,手机,Cellular,beijing_man2,4.871970052414921
北京-0020,116.390178,39.877615,北京市,laptop,Ethernet,beijing_man2,1.7761062677947579
北京-0021,116.380213,39.886924,北京市,PC,Ethernet,beijing_man2,1.9482211572289807
北京-0022,116.0485,39.830792,北京市,PC,Ethernet,beijing_man2,1.9033517126412312
北京-0023,116.36098,39.888561,北京市,传感器,Cellular,beijing_man2,6.428552234059426
北京-0024,116.324305,39.969311,北京市,PC,Ethernet,beijing_man2,1.547492238371769
北京-0025,116.690454,39.722091,北京市,PC,Ethernet,beijing_man1,1.9709143811738612
北京-0026,116.03508,39.84357,北京市,手机,Cellular,beijing_man2,2.069874279106098
北京-0027,116.644784,39.79483,北京市,PC,Ethernet,beijing_man1,1.558419413360757
北京-0028,116.267007,39.941717,北京市,PC,Cellular,beijing_man2,1.882228659878686
北京-0029,116.46326,39.470282,北京市,PC,Ethernet,langfang_man1,1.5589767255476068
北京-0030,116.415984,39.913781,北京市,传感器,Ethernet,beijing_man2,1.1952651640366647
北京-0031,116.605597,39.925433,北京市,PC,Cellular,beijing_man1,1.4689053968297583
北京-0032,116.359996,39.901442,北京市,PC,Cellular,beijing_man2,3.5542820534293744
北京-0033,116.399085,39.906718,北京市,PC,Cellular,beijing_man2,7.0308494107882
北京-0034,116.412414,39.900943,北京市,laptop,Wifi,beijing_man2,4.761145867891704
北京-0035,116.397177,39.900773,北京市,PC,Wifi,beijing_man2,4.4578477162290175
