id,linkid,sourceid,destinationid,leftid,rightip,linkifspeed,iplantency,cost,kphscost,bandwidth
1,91.158.1.87-468-91.158.1.88-347,91.158.1.87,91.158.1.88,99.158.21.234,99.158.21.233,10000000000,1,1,1,10000000000
2,91.158.1.87-410-91.158.1.89-797,91.158.1.87,91.158.1.89,99.158.15.202,99.158.15.201,10000000000,1,1,1,10000000000
3,91.158.1.87-126-91.158.1.90-509,91.158.1.87,91.158.1.90,99.158.20.22,99.158.20.21,10000000000,1,1,1,10000000000
4,91.158.1.87-648-91.158.1.91-340,91.158.1.87,91.158.1.91,99.158.101.158,99.158.101.157,10000000000,0.1,1,1,10000000000
5,91.158.1.87-696-91.158.1.92-111,91.158.1.87,91.158.1.92,99.158.111.30,99.158.111.29,10000000000,1.1,1,1,10000000000
6,91.158.1.87-300-92.158.1.87-687,91.158.1.87,92.158.1.87,99.158.116.34,99.158.116.33,10000000000,2.462,1,1,10000000000
7,91.158.1.87-440-92.158.1.88-157,91.158.1.87,92.158.1.88,99.158.103.54,99.158.103.53,10000000000,4.34076,1,1,10000000000
8,91.158.1.87-185-93.158.1.87-102,91.158.1.87,93.158.1.87,99.158.6.182,99.158.6.181,10000000000,7.09796,1,1,10000000000
9,91.158.1.87-660-94.158.1.87-333,91.158.1.87,94.158.1.87,99.158.6.194,99.158.6.193,10000000000,3.25,1,1,10000000000
10,91.158.1.88-578-91.158.1.89-429,91.158.1.88,91.158.1.89,99.158.3.206,99.158.3.205,10000000000,1,1,1,10000000000
11,91.158.1.88-780-91.158.1.90-317,91.158.1.88,91.158.1.90,99.158.4.98,99.158.4.97,10000000000,1,1,1,10000000000
12,91.158.1.88-279-91.158.1.91-286,91.158.1.88,91.158.1.91,99.158.108.134,99.158.108.133,10000000000,1.1,1,1,10000000000
13,91.158.1.88-721-91.158.1.92-182,91.158.1.88,91.158.1.92,99.158.119.110,99.158.119.109,10000000000,0.1,1,1,10000000000
14,91.158.1.88-150-92.158.1.87-459,91.158.1.88,92.158.1.87,99.158.7.66,99.158.7.65,10000000000,2.87188,1,1,10000000000
15,91.158.1.88-218-92.158.1.88-134,91.158.1.88,92.158.1.88,99.158.107.182,99.158.107.181,10000000000,4.35,1,1,10000000000
16,91.158.1.88-582-93.158.1.87-177,91.158.1.88,93.158.1.87,99.158.23.30,99.158.23.29,10000000000,5.988125,1,1,10000000000
17,91.158.1.88-229-94.158.1.87-520,91.158.1.88,94.158.1.87,99.158.109.166,99.158.109.165,10000000000,4.27,1,1,10000000000
18,91.158.1.89-297-91.158.1.93-121,91.158.1.89,91.158.1.93,99.158.115.226,99.158.115.225,10000000000,0.1,1,1,10000000000
19,91.158.1.89-373-91.158.1.94-684,91.158.1.89,91.158.1.94,99.158.116.186,99.158.116.185,10000000000,0.6,1,1,10000000000
20,91.158.1.89-697-91.158.1.95-120,91.158.1.89,91.158.1.95,99.158.8.46,99.158.8.45,10000000000,0.6,1,1,10000000000
21,91.158.1.89-426-91.158.1.96-202,91.158.1.89,91.158.1.96,99.158.21.230,99.158.21.229,10000000000,0.6,1,1,10000000000
22,91.158.1.90-668-91.158.1.93-383,91.158.1.90,91.158.1.93,99.158.15.198,99.158.15.197,10000000000,0.6,1,1,10000000000
23,91.158.1.90-214-91.158.1.94-499,91.158.1.90,91.158.1.94,99.158.20.18,99.158.20.17,10000000000,0.1,1,1,10000000000
