½ÚµãÃû³Æ,ip
beijing_core1,91.888.1.87
beijing_core2,91.888.1.88
beijing_man1,91.888.1.89
beijing_man2,91.888.1.90
beijing_cloud1,91.888.1.91
beijing_cloud2,91.888.1.92
beijing_edge1,91.888.1.93
beijing_edge2,91.888.1.94
beijing_edge3,91.888.1.95
beijing_edge4,91.888.1.96
tianjin_core1,92.888.1.87
tianjin_core2,92.888.1.88
tianjin_man1,92.888.1.89
tianjin_man2,92.888.1.90
tianjin_cloud1,92.888.1.91
tianjin_cloud2,92.888.1.92
tianjin_edge1,92.888.1.93
tianjin_edge2,92.888.1.94
tianjin_edge3,92.888.1.95
tianjin_edge4,92.888.1.96
shijiangzhuang_core,93.888.1.87
shijiangzhuang_man1,93.888.1.88
shijiangzhuang_man2,93.888.1.89
shijiangzhuang_cloud,93.888.1.90
tangshan_core,94.888.1.87
tangshan_man1,94.888.1.88
tangshan_man2,94.888.1.89
qhd_man1,95.888.1.87
qhd_man2,95.888.1.88
handan_man1,96.888.1.87
handan_man2,96.888.1.88
xingtai_man1,97.888.1.87
xingtai_man2,97.888.1.88
baoding_man1,98.888.1.87
baoding_man2,98.888.1.88
baoding_cloud,98.888.1.89
zhangjiako_man1,99.888.1.87
zhangjiako_man2,99.888.1.88
zhangjiako_cloud,99.888.1.89
chengde_man1,100.888.1.87
chengde_man2,100.888.1.88
cangzhou_man1,101.888.1.87
cangzhou_man2,101.888.1.88
langfang_man1,102.888.1.87
langfang_man2,102.888.1.88
hengshui_man1,103.888.1.87
hengshui_man2,103.888.1.88
shijiangzhuang_edge1,104.888.1.70
shijiangzhuang_edge2,104.888.1.71
tangshan_edge1,104.888.1.72
tangshan_edge2,104.888.1.73
qhd_edge1,104.888.1.74
qhd_edge2,104.888.1.75
handan_edge1,104.888.1.76
handan_edge2,104.888.1.77
xingtai_edge1,104.888.1.78
xingtai_edge2,104.888.1.79
baoding_edge1,104.888.1.80
baoding_edge2,104.888.1.81
zhangjiako_edge1,104.888.1.82
zhangjiako_edge2,104.888.1.83
chengde_edge1,104.888.1.84
chengde_edge2,104.888.1.85
cangzhou_edge1,104.888.1.86
cangzhou_edge2,104.888.1.87
langfang_edge1,104.888.1.88
langfang_edge2,104.888.1.89
hengshui_edge1,104.888.1.90
hengshui_edge2,104.888.1.91
