node_id,core_avg_usage,core_max_usage,ram_avg_usage,ram_max_usage
beijing-cloud1,68.20%,74.67%,89.11%,97.79%
beijing-cloud2,68.13%,74.67%,89.04%,97.79%
beijing-edge1,51.39%,99.17%,52.37%,95.75%
beijing-edge2,52.54%,99.17%,52.03%,88.62%
beijing-edge3,51.44%,99.17%,51.18%,97.79%
beijing-edge4,51.56%,99.17%,52.02%,96.77%
tianjin-cloud1,68.28%,74.67%,89.26%,97.79%
tianjin-cloud2,68.21%,74.67%,89.15%,97.79%
tianjin-edge1,39.71%,99.17%,39.29%,86.58%
tianjin-edge2,39.48%,99.17%,38.94%,78.43%
tianjin-edge3,39.46%,99.17%,38.90%,97.79%
tianjin-edge4,38.97%,99.17%,39.41%,96.77%
shijiangzhuang-cloud,68.37%,74.67%,89.28%,97.79%
shijiangzhuang-edge1,56.60%,99.17%,56.45%,92.70%
shijiangzhuang-edge2,55.80%,99.17%,58.50%,94.73%
tangshan-edge1,44.81%,99.17%,44.17%,95.75%
tangshan-edge2,44.91%,99.17%,45.34%,97.79%
qhd-edge1,31.20%,52.50%,29.22%,50.93%
qhd-edge2,30.54%,52.50%,30.01%,50.93%
handan-edge1,35.19%,99.17%,33.71%,95.75%
handan-edge2,35.53%,99.17%,34.30%,94.73%
xingtai-edge1,41.49%,99.17%,39.51%,82.51%
xingtai-edge2,41.26%,99.17%,41.09%,94.73%
baoding-cloud,68.37%,75.25%,89.42%,98.30%
baoding-edge1,48.33%,99.17%,46.81%,92.70%
baoding-edge2,47.79%,99.17%,46.90%,92.70%
zhangjiako-cloud,68.00%,74.67%,88.88%,97.79%
zhangjiako-edge1,29.51%,52.50%,27.09%,41.76%
zhangjiako-edge2,30.22%,52.50%,28.09%,50.93%
chengde-edge1,29.85%,46.67%,27.98%,50.93%
chengde-edge2,29.65%,52.50%,28.51%,50.93%
cangzhou-edge1,30.49%,52.50%,28.73%,50.93%
cangzhou-edge2,29.19%,52.50%,28.62%,51.95%
langfang-edge1,29.22%,52.50%,28.93%,50.93%
langfang-edge2,29.51%,52.50%,28.24%,50.93%
hengshui-edge1,35.69%,99.17%,34.97%,84.55%
hengshui-edge2,36.45%,99.17%,34.86%,96.77%
