id,source_id,destination_id,bandwidth,lantency
beijing_core1-beijing_core2,beijing_core1,beijing_core2,"100,000",1
beijing_core1-beijing_man1,beijing_core1,beijing_man1,"100,000",1
beijing_core1-beijing_man2,beijing_core1,beijing_man2,"100,000",1
beijing_core1-beijing_cloud1,beijing_core1,beijing_cloud1,"100,000",0.1
beijing_core1-beijing_cloud2,beijing_core1,beijing_cloud2,"100,000",1.1
beijing_core1-tianjin_core1,beijing_core1,tianjin_core1,"100,000",2.46
beijing_core1-tianjin_core2,beijing_core1,tianjin_core2,"100,000",4.34
beijing_core1-shijiangzhuang_core,beijing_core1,shijiangzhuang_core,"100,000",7.1
beijing_core1-tangshan_core,beijing_core1,tangshan_core,"100,000",3.25
beijing_core2-beijing_man1,beijing_core2,beijing_man1,"100,000",1
beijing_core2-beijing_man2,beijing_core2,beijing_man2,"100,000",1
beijing_core2-beijing_cloud1,beijing_core2,beijing_cloud1,"100,000",1.1
beijing_core2-beijing_cloud2,beijing_core2,beijing_cloud2,"100,000",0.1
beijing_core2-tianjin_core1,beijing_core2,tianjin_core1,"100,000",2.87
beijing_core2-tianjin_core2,beijing_core2,tianjin_core2,"100,000",4.35
beijing_core2-shijiangzhuang_core,beijing_core2,shijiangzhuang_core,"100,000",5.99
beijing_core2-tangshan_core,beijing_core2,tangshan_core,"100,000",4.27
beijing_man1-beijing_edge1,beijing_man1,beijing_edge1,"100,000",0.1
beijing_man1-beijing_edge2,beijing_man1,beijing_edge2,"100,000",0.6
beijing_man1-beijing_edge3,beijing_man1,beijing_edge3,"100,000",0.6
beijing_man1-beijing_edge4,beijing_man1,beijing_edge4,"100,000",0.6
beijing_man2-beijing_edge1,beijing_man2,beijing_edge1,"100,000",0.6
beijing_man2-beijing_edge2,beijing_man2,beijing_edge2,"100,000",0.1
beijing_man2-beijing_edge3,beijing_man2,beijing_edge3,"100,000",0.6
beijing_man2-beijing_edge4,beijing_man2,beijing_edge4,"100,000",0.6
tianjin_core1-tianjin_man1,tianjin_core1,tianjin_man1,"100,000",1
tianjin_core1-tianjin_man2,tianjin_core1,tianjin_man2,"100,000",1
tianjin_core1-tianjin_cloud1,tianjin_core1,tianjin_cloud1,"100,000",0.1
tianjin_core1-tianjin_cloud2,tianjin_core1,tianjin_cloud2,"100,000",1.1
tianjin_core1-shijiangzhuang_core,tianjin_core1,shijiangzhuang_core,"100,000",7.39
tianjin_core1-tangshan_core,tianjin_core1,tangshan_core,"100,000",2
tianjin_core2-tianjin_man1,tianjin_core2,tianjin_man1,"100,000",1
tianjin_core2-tianjin_man2,tianjin_core2,tianjin_man2,"100,000",1
tianjin_core2-tianjin_cloud1,tianjin_core2,tianjin_cloud1,"100,000",1.1
tianjin_core2-tianjin_cloud2,tianjin_core2,tianjin_cloud2,"100,000",0.1
tianjin_core2-shijiangzhuang_core,tianjin_core2,shijiangzhuang_core,"100,000",8.76
tianjin_core2-tangshan_core,tianjin_core2,tangshan_core,"100,000",2.47
tianjin_man1-tianjin_edge1,tianjin_man1,tianjin_edge1,"100,000",0.1
