Task ID,Device ID,Source Node,Destination Node,Success,Path,Latency,Task type,IP Allocation 
1.0,81402.0,cangzhou_man2,65,True,cangzhou_man2-cangzhou_edge2,1.0166005540240137,1.0,,GA
2.0,42501.0,shijiangzhuang_man1,48,True,shijiangzhuang_man1-shijiangzhuang_edge1,1.014336667709273,1.0,,GA
3.0,12956.0,baoding_man2,59,True,baoding_man2-baoding_edge2,1.0353808405030964,1.0,,GA
4.0,34375.0,shijiangzhuang_man1,48,True,shijiangzhuang_man1-shijiangzhuang_edge1,1.017366871179614,1.0,,GA
5.0,92567.0,beijing_man1,7,True,beijing_man1-beijing_edge1,1.0162639052958438,1.0,,GA
6.0,51344.0,langfang_man1,66,True,langfang_man1-langfang_edge1,1.0137084177466682,1.0,,GA
7.0,17242.0,hengshui_man1,68,True,hengshui_man1-hengshui_edge1,1.0282977430552376,1.0,,GA
8.0,27503.0,baoding_man1,58,True,baoding_man1-baoding_edge1,1.0298673244576155,1.0,,GA
9.0,32561.0,zhangjiako_man1,60,True,zhangjiako_man1-zhangjiako_edge1,1.015448741392662,1.0,,GA
10.0,2057.0,shijiangzhuang_man1,24,True,shijiangzhuang_man1-shijiangzhuang_core-shijiangzhuang_cloud,11.033818124697065,1.0,,GA
11.0,87419.0,beijing_man2,8,True,beijing_man2-beijing_edge2,1.0153914524416827,1.0,,GA
12.0,94649.0,beijing_man2,8,True,beijing_man2-beijing_edge2,1.0168163429907924,1.0,,GA
13.0,43904.0,langfang_man1,66,True,langfang_man1-langfang_edge1,1.013848730609267,1.0,,GA
14.0,39906.0,hengshui_man2,69,True,hengshui_man2-hengshui_edge2,1.0153380291784813,1.0,,GA
15.0,58577.0,baoding_man1,58,True,baoding_man1-baoding_edge1,1.013999395549473,1.0,,GA
16.0,99019.0,beijing_man2,8,True,beijing_man2-beijing_edge2,1.0161658172059713,1.0,,GA
17.0,69804.0,handan_man1,54,True,handan_man1-handan_edge1,1.0171539240710108,1.0,,GA
18.0,39653.0,hengshui_man2,69,True,hengshui_man2-hengshui_edge2,1.0170693190208469,1.0,,GA
19.0,18777.0,tangshan_man2,51,True,tangshan_man2-tangshan_edge2,1.025379826161431,1.0,,GA
20.0,46278.0,baoding_man1,58,True,baoding_man1-baoding_edge1,1.0142524210268211,1.0,,GA
21.0,79774.0,shijiangzhuang_man2,49,True,shijiangzhuang_man2-shijiangzhuang_edge2,1.016507970637681,1.0,,GA
22.0,61036.0,beijing_man2,8,True,beijing_man2-beijing_edge2,1.0170555694704582,1.0,,GA
23.0,23107.0,handan_man1,54,True,handan_man1-handan_edge1,1.0316815710129028,1.0,,GA
24.0,45734.0,tianjin_man2,18,True,tianjin_man2-tianjin_edge2,1.014162958449767,1.0,,GA
25.0,55093.0,shijiangzhuang_man1,48,True,shijiangzhuang_man1-shijiangzhuang_edge1,1.013827761440816,1.0,,GA
