id,aNodeId,zNodeId,link_band_utilization
1,1,2,0.0
2,1,3,0.0
3,1,4,0.0
4,1,5,0.0
5,1,6,0.0
6,1,11,0.0
7,1,12,0.0
8,1,21,0.0
9,1,25,0.0
10,2,3,0.0
11,2,4,0.0
12,2,5,0.0
13,2,6,0.0
14,2,11,0.0
15,2,12,0.0
16,2,21,0.0
17,2,25,0.0
18,3,7,0.0
19,3,8,0.0
20,3,9,0.0
21,3,10,0.0
22,4,7,0.0
23,4,8,0.0
24,4,9,0.0
25,4,10,0.0
26,11,13,0.0
27,11,14,0.0
28,11,15,0.0
29,11,16,0.0
30,11,21,0.0
31,11,25,0.0
32,12,13,0.0
33,12,14,0.0
34,12,15,0.0
35,12,16,0.0
36,12,21,0.0
37,12,25,0.0
38,13,17,0.0
39,13,18,0.0
40,13,19,0.0
41,13,20,0.0
42,14,17,0.0
43,14,18,0.0
44,14,19,0.0
45,14,20,0.0
46,21,22,0.0
47,21,23,0.0
48,21,24,0.0
49,21,26,0.0
50,21,27,0.0
51,21,28,0.0
52,21,29,0.0
53,21,30,0.0
54,21,31,0.0
55,21,32,0.0
56,21,33,0.0
57,21,34,0.0
58,21,35,0.0
59,21,37,0.0
60,21,38,0.0
61,21,40,0.0
62,21,41,0.0
63,21,42,0.0
64,21,43,0.0
65,21,44,0.0
66,21,45,0.0
67,21,46,0.0
68,21,47,0.0
69,22,23,0.0
70,25,26,0.0
71,25,27,0.0
72,25,28,0.0
73,25,29,0.0
74,25,30,0.0
75,25,31,0.0
76,25,32,0.0
77,25,33,0.0
78,25,34,0.0
79,25,35,0.0
80,25,37,0.0
81,25,38,0.0
82,25,40,0.0
83,25,41,0.0
84,25,42,0.0
85,25,43,0.0
86,25,44,0.0
87,25,45,0.0
88,25,46,0.0
89,25,47,0.0
90,26,27,0.0
91,28,29,0.0
92,30,31,0.0
93,32,33,0.0
94,34,35,0.0
95,34,36,0.0
96,35,36,0.0
97,37,38,0.0
98,37,39,0.0
99,38,39,0.0
100,40,41,0.0
101,42,43,0.0
102,44,45,0.0
103,46,47,0.0
104,25,22,0.0
105,25,23,0.0
106,22,48,0.0
107,23,49,0.0
108,26,50,0.0
109,27,51,0.0
110,28,52,0.0
111,29,53,0.0
112,30,54,0.0
113,31,55,0.0
114,32,56,0.0
115,33,57,0.0
116,34,58,0.0
117,35,59,0.0
118,37,60,0.0
119,38,61,0.0
120,40,62,0.0
121,41,63,0.0
122,42,64,0.0
123,43,65,0.0
124,44,66,0.0
125,45,67,0.0
126,46,68,0.0
127,47,69,0.0
128,22,49,0.0
129,23,48,0.0
130,26,51,0.0
131,27,50,0.0
132,28,53,0.0
133,29,52,0.0
134,30,55,0.0
135,31,54,0.0
136,32,57,0.0
137,33,56,0.0
138,34,59,0.0
139,35,58,0.0
140,37,61,0.0
141,38,60,0.0
142,40,63,0.0
143,41,62,0.0
144,42,65,0.0
145,43,64,0.0
146,44,67,0.0
147,45,66,0.0
148,46,69,0.0
149,47,68,0.0
150,42,11,0.0
151,43,11,0.0
152,28,11,0.0
153,29,11,0.0
154,42,12,0.0
155,43,12,0.0
156,28,12,0.0
157,29,12,0.0
158,37,1,0.0
159,38,1,0.0
160,40,1,0.0
161,41,1,0.0
162,44,1,0.0
163,45,1,0.0
164,37,2,0.0
165,38,2,0.0
166,40,2,0.0
167,41,2,0.0
168,44,2,0.0
169,45,2,0.0
170,1,2,0.0
171,1,3,0.0
172,1,4,0.0
173,1,5,0.0
174,1,6,0.0
175,1,11,0.0
176,1,12,0.0
177,1,21,0.0
178,1,25,0.0
179,2,3,0.0
180,2,4,0.0
181,2,5,0.0
182,2,6,0.0
183,2,11,0.0
184,2,12,0.0
185,2,21,0.0
186,2,25,0.0
187,3,7,0.0
188,3,8,0.0
189,3,9,0.0
190,3,10,0.0
191,4,7,0.0
192,4,8,0.0
193,4,9,0.0
194,4,10,0.0
195,11,13,0.0
196,11,14,0.0
197,11,15,0.0
198,11,16,0.0
199,11,21,0.0
200,11,25,0.0
201,12,13,0.0
202,12,14,0.0
203,12,15,0.0
204,12,16,0.0
205,12,21,0.0
206,12,25,0.0
207,13,17,0.0
208,13,18,0.0
209,13,19,0.0
210,13,20,0.0
211,14,17,0.0
212,14,18,0.0
213,14,19,0.0
214,14,20,0.0
215,21,22,0.0
216,21,23,0.0
217,21,24,0.0
218,21,26,0.0
219,21,27,0.0
