ID,Name,Type,Initial RAM,Remaining RAM,RAM Consumed,Initial Storage,Remaining Storage,Storage Consumed
5,beijing_cloud1,0,128000000,127999971.2000001,28.79999989271164,2000000000,1999999971.2000017,28.79999828338623
6,beijing_cloud2,0,128000000,127999971.2000001,28.79999989271164,2000000000,1999999971.2000017,28.79999828338623
7,beijing_edge1,1,1280000,1279676.7999999812,323.2000000188127,20000000,19999676.7999997,323.20000030100346
8,beijing_edge2,1,1280000,1279675.199999981,324.80000001890585,20000000,19999675.199999698,324.8000003024936
9,beijing_edge3,1,1280000,1279943.9999999967,56.00000000325963,20000000,19999943.999999948,56.000000052154064
10,beijing_edge4,1,1280000,1279945.5999999968,54.4000000031665,20000000,19999945.59999995,54.40000005066395
15,tianjin_cloud1,0,128000000,127999971.2000001,28.79999989271164,2000000000,1999999971.2000017,28.79999828338623
16,tianjin_cloud2,0,128000000,127999971.2000001,28.79999989271164,2000000000,1999999971.2000017,28.79999828338623
17,tianjin_edge1,1,1280000,1279943.9999999967,56.00000000325963,20000000,19999943.999999948,56.000000052154064
18,tianjin_edge2,1,1280000,1279684.7999999817,315.20000001834705,20000000,19999684.799999706,315.2000002935529
19,tianjin_edge3,1,1280000,1279945.5999999968,54.4000000031665,20000000,19999945.59999995,54.40000005066395
20,tianjin_edge4,1,1280000,1279945.5999999968,54.4000000031665,20000000,19999945.59999995,54.40000005066395
24,shijiangzhuang_cloud,0,128000000,127999960.00000015,39.99999985098839,2000000000,1999999960.0000024,39.99999761581421
48,shijiangzhuang_edge1,1,1280000,1279580.7999999756,419.20000002440065,20000000,19999580.79999961,419.2000003904104
49,shijiangzhuang_edge2,1,1280000,1279961.5999999978,38.400000002235174,20000000,19999961.599999964,38.40000003576279
50,tangshan_edge1,1,1280000,1279894.3999999939,105.60000000614673,20000000,19999894.3999999,105.60000009834766
51,tangshan_edge2,1,1280000,1279807.9999999888,192.00000001117587,20000000,19999807.99999982,192.00000017881393
52,qhd_edge1,1,1280000,1279902.3999999943,97.60000000568107,20000000,19999902.39999991,97.60000009089708
53,qhd_edge2,1,1280000,1279958.3999999976,41.60000000242144,20000000,19999958.39999996,41.60000003874302
54,handan_edge1,1,1280000,1279623.999999978,376.0000000218861,20000000,19999623.99999965,376.0000003501773
55,handan_edge2,1,1280000,1279961.5999999978,38.400000002235174,20000000,19999961.599999964,38.40000003576279
56,xingtai_edge1,1,1280000,1279767.9999999865,232.00000001350418,20000000,19999767.999999784,232.00000021606684
57,xingtai_edge2,1,1280000,1279977.5999999987,22.40000000130385,20000000,19999977.59999998,22.400000020861626
36,baoding_cloud,0,128000000,127999979.20000008,20.799999922513962,2000000000,1999999979.2000012,20.79999876022339
58,baoding_edge1,1,1280000,1279774.3999999869,225.60000001313165,20000000,19999774.39999979,225.60000021010637
59,baoding_edge2,1,1280000,1279799.9999999884,200.00000001164153,20000000,19999799.999999814,200.00000018626451
39,zhangjiako_cloud,0,128000000,127999987.20000005,12.799999952316284,2000000000,1999999987.2000008,12.799999237060547
60,zhangjiako_edge1,1,1280000,1279876.7999999928,123.20000000717118,20000000,19999876.799999885,123.20000011473894
61,zhangjiako_edge2,1,1280000,1279964.799999998,35.20000000204891,20000000,19999964.799999967,35.200000032782555
62,chengde_edge1,1,1280000,1279913.599999995,86.40000000502914,20000000,19999913.59999992,86.40000008046627
63,chengde_edge2,1,1280000,1279980.7999999989,19.200000001117587,20000000,19999980.799999982,19.200000017881393
64,cangzhou_edge1,1,1280000,1279731.1999999844,268.8000000156462,20000000,19999731.19999975,268.8000002503395
65,cangzhou_edge2,1,1280000,1279918.3999999953,81.60000000474975,20000000,19999918.399999924,81.60000007599592
66,langfang_edge1,1,1280000,1279702.3999999827,297.6000000173226,20000000,19999702.399999723,297.6000002771616
67,langfang_edge2,1,1280000,1279971.1999999983,28.80000000167638,20000000,19999971.199999973,28.80000002682209
68,hengshui_edge1,1,1280000,1279883.1999999932,116.80000000679865,20000000,19999883.19999989,116.80000010877848
69,hengshui_edge2,1,1280000,1279942.3999999966,57.60000000335276,20000000,19999942.399999946,57.60000005364418
