ID,name,type,longitude,latitude,cores,flops,ram,storage
5,beijing_cloud1,0,116.3460091,40.0808882,48000,40000,127999971.2000001,1999999971.2000017
6,beijing_cloud2,0,116.4990235,39.72172736,48000,40000,127999971.2000001,1999999971.2000017
7,beijing_edge1,1,116.656437,39.909965,480,40000,1279676.7999999812,19999676.7999997
8,beijing_edge2,1,116.222982,39.906611,480,40000,1279675.199999981,19999675.199999698
9,beijing_edge3,1,116.341395,39.726929,480,40000,1279943.9999999967,19999943.999999948
10,beijing_edge4,1,116.4853067,40.13531439,480,40000,1279945.5999999968,19999945.59999995
15,tianjin_cloud1,0,117.119751,39.10015308,48000,40000,127999971.2000001,1999999971.2000017
16,tianjin_cloud2,0,117.5411904,39.11008903,48000,40000,127999971.2000001,1999999971.2000017
17,tianjin_edge1,1,117.824898,39.330613,480,40000,1279943.9999999967,19999943.999999948
18,tianjin_edge2,1,116.974254,38.947527,480,40000,1279684.7999999817,19999684.799999706
19,tianjin_edge3,1,117.357396,38.937857,480,40000,1279945.5999999968,19999945.59999995
20,tianjin_edge4,1,117.309819,39.717575,480,40000,1279945.5999999968,19999945.59999995
24,shijiangzhuang_cloud,0,114.6211328,38.03878291,48000,40000,127999960.00000015,1999999960.0000024
48,shijiangzhuang_edge1,1,114.57094,38.146452,480,40000,1279580.7999999756,19999580.79999961
49,shijiangzhuang_edge2,1,115.218029,37.943122,480,40000,1279961.5999999978,19999961.599999964
50,tangshan_edge1,1,118.1648212,39.86178902,480,40000,1279894.3999999939,19999894.3999999
51,tangshan_edge2,1,118.0893,39.55117578,480,40000,1279807.9999999888,19999807.99999982
52,qhd_edge1,1,119.484513,39.83459,480,40000,1279902.3999999943,19999902.39999991
53,qhd_edge2,1,119.775805,39.978857,480,40000,1279958.3999999976,19999958.39999996
54,handan_edge1,1,114.473016,36.616985,480,40000,1279623.999999978,19999623.99999965
55,handan_edge2,1,114.814091,36.550419,480,40000,1279961.5999999978,19999961.599999964
56,xingtai_edge1,1,114.468442,37.059877,480,40000,1279767.9999999865,19999767.999999784
57,xingtai_edge2,1,115.408757,37.359265,480,40000,1279977.5999999987,19999977.59999998
36,baoding_cloud,0,115.4859213,39.02188776,48000,40000,127999979.20000008,1999999979.2000012
58,baoding_edge1,1,114.98257,38.748274,480,40000,1279774.3999999869,19999774.39999979
59,baoding_edge2,1,115.87376,39.326524,480,40000,1279799.9999999884,19999799.999999814
39,zhangjiako_cloud,0,115.8313894,40.31046616,48000,40000,127999987.20000005,1999999987.2000008
60,zhangjiako_edge1,1,114.894342,40.788454,480,40000,1279876.7999999928,19999876.799999885
61,zhangjiako_edge2,1,114.720093,41.158559,480,40000,1279964.799999998,19999964.799999967
62,chengde_edge1,1,117.943356,40.974652,480,40000,1279913.599999995,19999913.59999992
63,chengde_edge2,1,118.701944,41.018401,480,40000,1279980.7999999989,19999980.799999982
64,cangzhou_edge1,1,116.857066,38.313526,480,40000,1279731.1999999844,19999731.19999975
65,cangzhou_edge2,1,116.1220648,38.43771053,480,40000,1279918.3999999953,19999918.399999924
66,langfang_edge1,1,116.7063783,39.49103587,480,40000,1279702.3999999827,19999702.399999723
67,langfang_edge2,1,116.989577,39.886539,480,40000,1279971.1999999983,19999971.199999973
68,hengshui_edge1,1,115.579333,37.55082,480,40000,1279883.1999999932,19999883.19999989
69,hengshui_edge2,1,115.559566,38.001529,480,40000,1279942.3999999966,19999942.399999946
