source_id,dest_id,lantency,AppType
1,19,50.6,1
1,20,50.6,1
1,24,70.9,1
1,36,113.4,1
1,39,68.3,1
1,48,80.9,1
1,49,80.9,1
1,50,53.5,1
1,51,53.5,1
1,52,78.5,1
1,53,84.2,1
1,54,111.9,1
1,55,111.9,1
1,56,100.9,1
1,57,100.9,1
1,58,106,1
1,59,103.4,1
1,60,58.3,1
1,61,58.3,1
1,62,65.9,1
1,63,65.9,1
1,64,63.4,1
1,65,63.4,1
1,68,100.7,1
1,69,100.7,1
2,19,50.6,1
2,20,50.6,1
2,24,70.9,1
2,36,113.4,1
2,39,68.3,1
2,48,80.9,1
2,49,80.9,1
2,50,53.5,1
2,51,53.5,1
2,52,78.5,1
2,53,84.2,1
2,54,111.9,1
2,55,111.9,1
2,56,100.9,1
2,57,100.9,1
2,58,106,1
2,59,103.4,1
2,60,58.3,1
2,61,58.3,1
2,62,65.9,1
2,63,65.9,1
2,64,63.4,1
2,65,63.4,1
2,68,100.7,1
2,69,100.7,1
3,9,50.6,1
3,10,50.6,1
3,24,84.9,1
3,36,100.9,1
3,39,93,1
3,48,94.9,1
3,49,94.9,1
3,52,66,1
3,53,71.7,1
3,54,125.9,1
3,55,125.9,1
3,56,115,1
3,57,115,1
3,58,100.9,1
3,59,90.9,1
3,60,83,1
3,61,83,1
3,62,78.2,1
3,63,82.1,1
3,68,114.7,1
3,69,114.7,1
4,9,50.6,1
4,10,50.6,1
4,24,84.9,1
4,36,100.9,1
4,39,93,1
4,48,94.9,1
4,49,94.9,1
4,52,66,1
4,53,71.7,1
4,54,125.9,1
4,55,125.9,1
4,56,115,1
4,57,115,1
4,58,100.9,1
4,59,90.9,1
4,60,83,1
4,61,83,1
4,62,78.2,1
4,63,82.1,1
4,68,114.7,1
4,69,114.7,1
5,5,80.9,1
5,6,70.9,1
5,7,80.9,1
5,8,80.9,1
5,9,85.9,1
5,10,85.9,1
5,15,84.9,1
5,16,94.5,1
5,17,94.9,1
5,18,94.9,1
5,19,99.9,1
